Age,EstimatedSalary,Purchased
47,143489,0
52,116523,1
24,66828,1
38,140824,0
23,67924,1
54,94182,0
36,113065,1
47,79052,0
49,31664,1
48,55737,0
25,121332,1
54,109563,1
56,49373,0
43,137369,0
48,56397,0
50,148575,0
54,106145,1
52,121371,1
40,58709,0
51,136074,1
42,81120,0
52,39250,0
22,41172,1
37,31555,1
44,107410,1
50,98617,1
22,73276,1
59,77492,1
43,73002,1
51,140103,0
41,144938,0
42,109599,0
21,92355,0
46,111248,0
21,44762,1
45,31046,0
36,116999,0
59,144130,0
52,136021,0
28,48769,0
58,73302,0
48,43150,0
45,88247,1
54,24853,1
44,114613,0
43,140900,1
32,109399,1
26,41792,1
55,79129,1
39,126019,0
20,94478,1
27,133811,1
35,134130,1
33,87298,0
31,51987,0
42,35850,0
34,32112,0
47,141789,0
53,44058,0
21,65420,0
51,58890,1
42,86017,1
41,67304,1
44,52921,0
41,125921,0
41,21524,0
25,120424,0
34,35048,0
56,55111,1
52,57904,1
27,74912,0
24,54008,0
58,20060,0
23,94666,0
25,103559,1
51,75337,0
49,130616,0
54,33350,0
59,44354,0
35,65186,1
32,48145,0
49,54020,0
38,106123,1
36,126667,1
38,95186,1
47,105469,0
45,40581,0
56,108929,1
45,43051,1
42,71474,1
28,111748,1
31,145995,1
20,134618,1
20,89626,0
53,26960,0
51,55772,0
44,41520,1
59,69481,1
20,56408,1
35,114006,1
58,148496,1
24,77134,1
41,40491,0
48,21341,0
22,64623,1
31,110327,0
45,20338,1
35,91431,0
56,32254,1
41,71860,1
48,31344,0
33,21750,0
47,74756,1
24,87957,1
49,125423,0
24,78053,0
31,90855,1
35,35896,0
45,75761,1
45,82552,1
40,140075,1
58,97454,1
55,146522,0
52,138681,0
49,110600,0
56,142732,0
42,132153,0
29,142926,0
24,47935,0
55,57641,1
53,49711,0
50,90342,0
29,126896,1
38,32182,0
51,107833,0
20,76276,1
24,39541,0
23,114457,0
35,102310,0
43,64813,1
35,57198,0
21,28820,0
47,44070,1
51,89768,0
46,31122,1
39,100559,1
43,93543,0
31,103441,1
54,61786,1
52,114934,0
52,119804,1
56,26737,1
31,56062,0
22,74237,0
20,71571,0
52,45510,1
59,39426,0
29,57265,1
48,37850,1
32,138249,1
31,86150,1
50,107312,1
21,109613,1
54,94910,1
42,72375,0
36,141826,0
45,55435,1
27,116443,1
48,77132,0
45,98945,1
29,102050,0
45,149828,0
53,115402,0
26,22983,1
23,117241,1
30,40662,0
48,43510,0
55,98187,0
44,60998,0
40,76846,0
55,114071,1
29,26640,0
56,64547,1
28,74620,0
43,35317,1
54,135608,1
54,27564,1
55,47345,1
37,133824,1
58,114223,1
51,143372,0
43,99273,1
42,94859,0
51,100765,1
56,130017,1
31,94038,0
32,143618,1
42,72393,0
44,86081,0
54,145341,0
49,122650,0
36,49430,1
39,95532,1
44,47788,0
41,115505,1
32,68543,1
38,33919,0
55,89346,1
31,116122,0
38,59974,0
31,127309,1
28,36371,1
26,65084,1
47,49629,0
33,71184,0
50,81916,1
38,147293,1
35,93972,1
24,82187,1
54,32984,0
31,53039,1
44,105431,0
40,103691,0
55,78606,1
42,30616,1
35,122665,1
58,125373,0
58,70072,1
33,44574,1
50,23430,0
24,139123,1
54,32676,0
42,30816,1
48,52733,0
30,105680,1
37,22050,1
31,129996,0
28,53933,0
29,44951,1
36,52413,0
57,54801,0
26,75619,0
32,52913,0
59,132573,1
28,139076,1
46,60600,0
21,77775,0
24,110816,0
48,149972,0
56,110093,1
57,132590,1
38,55400,0
27,24494,0
20,100688,0
41,142744,1
36,109431,0
26,94691,1
44,117419,0
23,128730,1
55,63001,0
25,87364,1
50,144988,0
38,65028,0
58,127434,0
46,117659,1
29,57573,0
45,20806,1
38,144343,1
58,76638,0
22,148301,0
32,146295,0
47,126506,1
39,49757,0
47,54636,1
27,100097,1
58,68280,0
20,44262,0
22,100435,0
32,82211,0
47,74842,0
44,148583,0
52,76979,1
57,134524,1
25,101470,1
51,58197,0
40,61844,1
35,84754,1
40,121868,1
30,54157,1
56,97129,1
55,60042,0
54,81665,0
38,135512,1
39,136953,1
37,102856,1
33,47376,0
34,129049,0
50,75554,1
20,34199,0
22,138533,0
35,101412,1
42,70948,0
30,93781,0
31,92750,1
29,86262,0
51,137424,0
35,66600,1
27,96898,0
57,82483,0
31,38297,1
43,50448,1
47,46172,1
27,62874,0
47,27657,1
55,104386,0
45,145617,1
27,45425,0
47,46685,1
47,142000,1
56,132855,1
55,44578,1
46,48831,0
36,27906,1
28,81413,1
52,74028,0
39,27287,1
32,53660,0
47,95758,1
48,80504,1
32,79720,1
54,122979,0
25,54701,1
37,103300,1
24,130177,1
44,37674,0
21,103560,0
29,131543,1
49,43874,0
24,63642,1
52,143867,1
20,117820,1
37,85160,1
51,37602,1
30,123320,1
40,108801,1
45,45931,0
44,114377,0
41,49192,0
46,66542,0
32,147015,0
52,62520,0
53,84772,0
54,78762,1
20,70106,1
40,101121,1
25,45559,1
47,125595,0
36,53742,0
24,89669,1
50,100199,1
24,41754,0
57,23972,1
22,90831,1
42,132217,1
56,61873,1
56,114661,0
29,126532,1
29,146267,1
38,29903,0
36,23020,0
40,61755,1
33,105956,0
28,106988,1
20,65648,1
32,123537,0
23,145991,1
20,29516,1
59,132863,1
51,135005,1
53,22396,0
47,104082,0
50,39129,1
27,148322,0
58,21591,1
45,31303,1
53,50561,1
22,91719,1
31,138618,1
20,112108,0
24,148748,1
49,119616,0
49,144165,0
36,106231,1
42,27314,1
34,137071,1
56,39623,1
40,87675,1
33,132992,0
21,116826,1
30,85082,1
58,149839,0
57,103624,0
53,125228,1
57,53130,0
53,71756,1
37,117624,0
49,46292,0
34,131785,1
46,147331,0
53,106206,0
57,89274,0
52,22469,0
43,73947,0
34,42534,0
49,83620,1
36,68874,1
24,69708,0
48,94553,1
23,88344,1
29,69138,1
36,74302,0
29,67638,1
36,98249,0
39,125865,1
43,22719,0
24,42890,0
53,97236,1
25,56509,1
21,62534,0
32,122302,1
30,112241,1
42,38787,1
35,146209,0
50,68845,0
30,77932,1
35,112124,1
27,111659,1
23,53062,0
59,95713,0
23,107263,1
44,115756,1
22,80461,1
51,95418,1
22,86672,1
46,148232,1
48,54832,0
51,147335,1
38,51966,0
40,92545,1
24,32987,1
37,57311,0
47,51575,0
41,83852,0
40,147650,0
25,21007,1
20,90981,0
24,96242,1
31,67517,0
45,130022,1
53,49257,1
33,107272,1
45,62207,1
46,33281,1
28,81246,1
45,21435,0
41,118875,1
49,120686,0
36,111357,0
45,46660,1
55,25084,0
20,102197,1
27,33507,0
54,92595,1
34,103807,0
41,65539,1
33,135953,1
45,27491,1
47,147706,1
42,132831,0
33,70192,1
43,100395,0
21,143797,0
45,83888,0
33,93609,1
26,29077,0
22,137440,0
42,142901,0
37,40953,1
57,96919,1
54,134682,0
34,141041,1
44,87889,1
56,43821,0
47,57567,0
29,135374,1
58,44860,0
36,41195,1
58,97475,1
41,110874,1
45,107266,1
44,41427,1
36,120732,1
32,47083,0
39,107046,0
44,77372,1
23,143786,1
29,64064,1
22,27813,0
37,51598,1
55,132718,0
41,146879,1
53,113106,1
27,47082,0
59,49241,0
38,116214,1
56,64569,1
25,31745,1
45,46029,0
53,33025,0
25,121660,0
56,143395,0
52,34288,0
41,109186,0
40,26540,1
25,117768,1
25,101958,0
23,88878,1
49,61846,1
30,121148,0
49,95932,1
50,37482,0
43,43411,0
28,70975,1
22,80545,0
50,132302,0
59,98797,0
56,72307,0
55,23093,0
43,97258,0
50,42042,0
25,72930,0
21,137584,1
39,64413,1
47,133387,1
30,113623,0
23,117883,0
34,53756,1
25,73268,1
49,59214,1
57,101871,0
21,147844,1
34,48602,1
30,73331,0
27,68901,1
45,119986,0
24,83416,0
25,52196,0
45,148386,1
23,25626,1
38,27424,0
39,32857,1
52,130459,1
39,135621,1
31,39982,1
20,96961,0
45,21980,1
33,68290,0
57,46431,0
56,104976,1
30,127288,0
55,102711,1
32,134187,1
22,46385,0
52,58158,0
25,43019,0
29,38639,0
24,105530,1
42,119911,1
29,41563,1
21,59341,0
32,135672,0
59,25776,0
21,56444,1
39,88916,0
20,28711,1
56,94318,0
28,102970,1
36,132301,1
28,105553,0
30,50707,0
34,59110,1
43,149410,1
57,81788,0
54,102879,0
49,58827,1
50,127188,0
24,25655,1
33,64859,1
30,73625,0
28,72098,0
53,35251,0
31,142413,0
54,20526,0
54,88760,1
20,67837,1
59,145133,0
41,149478,0
48,31536,0
27,48541,1
30,99083,0
56,71027,0
33,54531,1
49,28712,1
54,124101,0
40,85455,0
56,94744,0
24,141787,1
38,149749,0
33,25109,0
45,141332,0
23,69268,1
44,120737,1
44,74615,0
37,102503,0
59,143274,1
27,49759,1
58,105708,1
59,80112,1
33,122471,1
51,146740,1
57,143153,1
52,46589,1
42,50015,1
34,49009,0
52,103309,0
44,146446,0
36,82046,1
52,126661,0
21,46143,1
33,26154,1
59,41804,0
59,61688,1
58,84288,0
25,71195,0
25,40581,0
22,72648,1
26,50087,0
27,69930,1
34,52981,0
48,89298,0
52,66167,0
49,95304,1
58,63408,1
46,59499,1
55,145816,0
48,72269,0
57,58559,1
52,134126,1
56,94319,1
46,131925,1
52,115317,1
23,116347,1
41,68787,0
21,55488,1
29,94441,0
24,94663,0
29,42431,1
52,81681,1
57,83483,0
32,142720,1
50,69153,1
55,26368,0
43,47424,0
34,132360,0
48,65004,1
27,103869,0
24,108652,1
48,132755,0
23,76985,0
31,70069,0
21,72326,1
46,128737,1
50,101061,0
55,43398,0
55,118393,0
45,70861,1
46,95897,0
24,101905,1
39,147118,0
30,88577,0
29,85641,0
59,29078,0
57,45003,0
25,82768,0
27,71047,1
42,91626,0
45,77660,1
31,124386,0
45,69786,0
32,21925,1
59,103976,0
37,125221,1
44,137832,1
52,145150,0
59,46015,1
31,53320,1
55,84881,0
23,110827,1
24,140071,0
56,122215,0
27,46289,0
47,148859,0
50,23389,1
28,45683,0
48,33629,0
84,373672,0
84,323257,1
109,469054,1
111,234964,1
87,479297,0
89,430156,1
117,308212,1
111,239071,1
107,312990,1
96,269519,1
110,209503,0
87,391775,1
119,295457,1
104,388938,0
88,347977,1
81,245838,0
94,289489,1
82,226806,0
115,376072,0
83,270119,1
