cgpa,iq,placement
7.19,128,17.24
5.89,104,16.0
6.81,146,19.47
5.74,127,14.76
9.79,120,23.87
9.18,107,22.73
9.11,86,21.6
5.8,106,15.06
5.44,81,13.28
7.65,107,17.72
6.7,130,17.49
7.0,80,17.07
8.94,86,21.29
7.87,104,19.48
5.42,82,13.29
5.4,141,13.45
8.19,127,20.82
7.69,81,18.22
9.28,89,22.03
5.25,125,14.2
6.48,107,16.67
9.03,92,19.61
8.76,92,21.56
7.94,101,17.8
9.95,149,23.73
9.95,109,24.01
7.46,95,16.65
6.39,120,16.59
5.32,108,13.73
5.3,114,14.42
5.16,144,13.92
7.77,141,20.02
8.55,87,19.09
7.02,80,17.37
5.38,98,13.79
6.33,124,15.87
5.13,149,12.5
8.28,126,19.66
5.97,126,15.86
8.56,140,21.41
8.49,102,20.77
6.18,109,15.69
5.56,147,15.01
5.39,101,13.46
5.01,96,12.85
5.05,119,13.45
6.9,137,17.45
7.07,98,17.96
9.65,119,22.48
7.04,111,15.94
8.42,94,18.2
6.17,142,17.26
7.85,144,20.21
9.93,143,23.12
5.26,121,15.21
10.0,150,23.31
5.89,112,16.5
7.55,108,17.84
8.59,94,18.86
7.02,126,18.16
9.4,120,21.63
8.28,143,20.49
8.36,125,21.94
7.58,80,17.11
5.38,129,13.61
5.66,110,15.44
5.19,103,13.26
7.86,106,18.56
8.45,137,21.07
7.1,101,16.24
8.75,150,22.68
7.02,84,17.66
7.67,131,20.12
6.99,146,17.97
7.09,98,16.12
5.46,84,15.02
6.33,96,15.58
6.42,117,16.87
9.76,102,22.29
6.85,122,17.6
5.22,100,12.04
8.79,126,21.03
7.25,110,16.05
7.39,123,17.7
8.15,137,20.66
7.44,103,19.38
8.77,111,21.86
5.1,123,12.34
8.11,147,20.73
9.85,125,23.19
8.09,80,18.37
9.03,118,21.27
6.83,103,16.51
5.53,142,14.95
8.58,114,19.76
8.18,129,20.58
6.17,84,14.72
9.04,82,19.21
9.04,141,22.06
8.83,86,19.9
7.27,138,19.39
8.68,96,22.02
9.1,122,23.66
6.36,107,17.18
6.28,139,16.87
6.16,103,15.82
9.92,96,21.93
6.2,127,15.79
8.09,115,21.68
7.75,126,18.94
8.13,109,19.55
7.58,132,20.75
9.54,135,22.01
8.83,90,20.69
5.08,139,15.02
8.16,145,19.67
5.5,102,15.75
5.25,129,13.52
9.81,135,23.02
9.58,148,24.31
8.51,130,20.88
6.91,146,17.65
6.31,93,15.55
8.48,115,20.53
9.07,97,22.55
8.98,121,20.68
9.21,100,22.27
6.13,149,16.78
7.64,128,18.63
6.82,106,17.5
9.37,96,23.63
6.73,115,15.08
6.95,121,17.06
6.45,133,17.41
9.98,98,22.86
6.35,116,16.68
7.37,126,17.83
8.43,134,20.48
6.47,119,18.03
9.08,103,20.67
6.85,100,16.52
5.76,87,15.06
5.04,98,12.29
8.89,131,22.77
6.17,145,17.82
7.56,119,18.57
8.19,110,19.6
5.57,125,15.0
9.93,132,24.12
8.71,88,22.46
9.53,91,22.93
9.97,119,21.88
5.24,118,15.25
5.46,141,14.38
5.17,117,14.26
8.49,101,19.86
8.53,107,20.13
7.65,146,20.27
7.02,140,19.25
7.53,106,17.61
9.2,130,22.48
9.35,122,22.07
7.2,86,17.14
8.67,149,20.76
5.5,109,13.13
5.17,92,12.92
8.66,129,21.67
8.88,128,21.58
7.68,148,18.48
7.3,92,16.84
8.21,140,20.0
6.51,139,16.35
7.42,91,19.1
9.97,94,23.4
6.69,98,17.76
9.09,121,20.97
5.94,91,14.2
5.13,127,15.81
8.29,101,20.93
7.95,143,20.02
9.79,84,22.65
7.18,127,16.92
7.16,113,17.58
7.23,123,18.91
9.64,85,24.05
5.41,88,11.71
7.02,141,19.65
8.49,102,21.65
5.92,135,17.27
7.61,85,20.54
5.06,135,15.14
8.62,142,22.81
9.12,115,22.77
7.04,96,16.21
5.01,121,12.93
9.67,88,21.94
9.06,84,20.37
5.71,113,13.74
8.9,140,21.61
9.81,91,22.21
8.05,91,19.2
5.91,130,16.36
7.85,86,18.17
8.84,121,21.34
5.88,85,14.48
9.18,118,21.57
6.46,86,15.0
5.5,101,13.69
9.31,84,22.15
8.41,133,20.57
5.71,120,15.06
7.18,148,21.17
6.01,133,16.69
8.29,85,19.26
8.84,135,21.23
8.59,137,20.04
7.47,134,19.98
5.4,121,13.68
8.14,120,20.03
6.97,130,19.99
5.74,123,15.83
7.59,113,18.56
9.94,142,22.38
7.05,103,17.8
6.57,126,17.21
9.49,141,22.01
8.19,131,19.8
6.46,93,15.74
9.06,121,21.39
9.52,124,20.58
8.25,82,18.16
9.01,139,23.22
9.85,83,23.86
5.59,146,15.63
9.05,145,23.37
6.7,116,17.65
8.98,137,22.15
9.56,141,23.85
8.98,107,21.14
9.61,98,21.59
9.86,115,23.88
5.53,81,12.08
5.48,92,12.6
5.5,99,13.19
5.36,85,12.54
7.57,112,20.12
9.11,104,19.51
5.45,141,15.58
5.21,132,15.67
9.14,124,22.65
5.18,105,14.03
5.13,99,12.51
9.1,141,23.23
5.04,138,14.74
9.48,86,19.43
5.73,119,15.38
8.08,140,19.46
6.79,109,16.45
5.45,142,15.26
7.46,114,17.05
6.8,150,18.45
9.42,95,20.97
8.02,108,18.87
6.66,134,18.22
6.47,84,15.93
9.8,91,21.48
7.45,98,17.71
6.3,110,15.93
8.28,104,21.97
6.89,124,18.51
7.96,122,17.91
5.8,105,13.66
8.55,145,21.88
9.23,113,21.4
6.89,95,17.56
8.72,144,23.05
5.46,95,15.05
6.19,149,16.07
7.39,142,19.57
8.95,109,22.28
6.7,104,15.52
9.58,96,22.73
9.87,126,20.58
5.5,85,13.66
8.29,138,19.56
7.1,120,17.79
8.89,126,22.31
5.05,143,13.41
7.62,96,18.06
9.52,99,20.78
8.2,125,19.03
7.83,97,19.48
7.92,106,21.69
8.45,139,21.74
8.08,89,16.57
9.96,91,23.62
6.94,119,16.84
9.87,137,23.29
6.55,136,17.95
9.07,142,21.99
8.29,115,21.06
8.14,103,18.55
9.33,98,22.82
5.14,105,14.82
7.86,88,19.89
8.06,116,20.31
8.77,135,20.66
7.12,128,17.28
6.78,116,14.57
8.08,84,18.44
9.32,144,22.61
9.85,108,24.56
7.76,108,18.61
9.16,81,18.96
9.72,130,26.05
9.63,110,23.51
8.38,108,20.75
8.05,134,20.62
5.15,135,15.23
5.5,128,14.18
7.28,105,17.67
6.6,93,16.25
8.69,145,23.22
9.51,101,21.41
7.12,144,16.98
7.34,99,17.89
5.54,90,13.66
7.93,89,18.27
7.4,87,17.02
9.47,138,22.65
6.87,108,16.85
6.56,113,16.17
6.61,100,14.43
7.94,110,18.92
5.23,80,14.74
6.42,114,16.24
5.42,111,13.4
6.75,131,18.01
7.63,106,19.07
6.97,105,15.86
8.33,138,20.69
5.64,90,13.15
7.28,140,17.65
5.6,144,15.29
6.07,129,15.84
5.08,142,13.48
8.85,118,19.82
5.01,141,14.71
8.56,136,20.47
5.11,148,15.38
6.23,116,16.92
9.56,112,23.79
8.35,135,21.82
9.39,108,23.13
6.9,128,17.81
7.59,140,19.35
6.32,88,15.96
7.82,100,18.45
5.44,115,16.1
9.35,100,20.24
7.39,86,16.09
5.06,93,11.88
5.32,120,12.23
8.97,89,20.9
9.69,113,22.55
8.76,150,20.7
9.92,137,24.76
9.45,105,22.71
6.73,104,16.45
6.46,119,16.43
7.11,109,16.05
7.35,124,18.52
6.82,148,17.97
6.57,105,14.9
9.07,94,20.85
9.06,123,22.06
6.72,81,15.69
6.96,120,16.42
8.78,106,19.69
8.33,105,20.21
9.11,124,22.11
5.59,149,15.5
6.09,113,17.05
5.7,98,15.04
9.59,105,23.46
9.73,88,21.81
9.37,91,21.05
7.21,148,17.36
7.47,125,18.59
8.58,138,21.4
8.3,98,18.05
7.75,116,19.79
5.38,146,14.77
5.83,104,13.94
9.5,135,24.27
6.41,119,17.79
5.67,93,15.38
7.9,116,18.83
8.18,105,20.58
9.98,95,22.3
6.46,112,17.57
7.92,104,18.31
8.02,144,19.72
6.56,140,16.88
5.49,135,16.97
8.47,137,20.98
5.3,139,15.53
8.03,92,20.25
8.53,91,18.7
8.61,90,20.45
6.69,89,15.64
6.13,139,15.43
5.5,118,13.89
5.85,131,13.77
8.61,135,21.03
8.97,106,21.64
5.32,85,13.46
7.37,103,17.02
5.75,131,16.59
6.18,134,15.8
8.06,133,20.46
5.02,86,11.49
6.01,122,15.57
5.82,112,13.79
6.43,115,14.99
7.63,92,18.11
5.12,105,13.02
7.91,103,20.54
9.22,147,22.51
9.03,105,20.11
5.09,142,13.3
7.39,111,18.44
7.41,110,18.62
6.83,128,18.79
5.05,82,12.75
9.18,93,21.9
7.73,150,19.57
7.23,85,17.06
5.56,113,15.82
9.8,107,23.79
6.91,137,16.07
9.93,84,23.37
6.03,95,17.24
8.84,86,20.76
6.37,132,17.6
7.17,86,17.09
6.38,143,17.86
8.47,98,20.14
7.43,138,18.16
6.68,126,16.55
8.75,108,22.12
8.44,120,19.1
7.51,103,19.47
6.48,107,17.54
8.55,87,19.44
7.95,120,18.29
8.38,110,21.4
9.65,144,23.25
7.15,138,19.35
5.84,90,14.14
7.74,121,20.17
6.95,103,16.7
8.99,94,20.39
8.01,117,17.51
8.22,113,20.21
6.12,97,17.35
6.93,88,14.48
9.02,84,23.61
9.16,113,22.31
9.21,80,22.82
8.64,88,21.05
8.5,114,20.7
8.51,142,21.3
5.88,109,14.76
5.31,131,16.4
9.18,115,22.65
6.31,88,14.67
5.6,102,14.47
8.49,150,22.47
9.2,117,20.62
7.62,101,18.93
7.82,136,19.03
7.33,105,18.69
6.55,146,18.8
6.76,88,16.26
8.64,88,18.11
8.66,95,19.71
9.47,85,22.19
5.59,105,13.95
8.51,131,20.78
8.07,125,19.28
6.18,130,16.44
5.28,136,15.41
6.46,94,17.24
9.65,143,25.35
6.87,111,18.93
9.0,115,22.48
9.38,120,22.49
8.93,84,19.62
8.56,100,20.69
7.85,134,20.03
9.4,141,23.26
5.28,90,14.39
9.64,116,22.35
7.05,115,18.27
6.19,139,17.19
9.54,91,21.81
5.58,95,12.46
9.18,87,20.85
5.58,101,14.99
5.21,140,14.33
6.65,89,15.97
5.7,149,15.37
8.37,131,19.89
7.75,134,18.69
9.25,127,21.03
7.8,104,17.8
5.73,90,14.92
8.29,126,22.28
7.31,91,17.89
7.89,149,22.24
6.77,80,16.02
5.54,83,13.27
9.34,119,21.39
8.82,90,18.77
6.5,143,16.04
7.24,144,18.74
6.72,137,18.39
9.95,98,21.37
5.65,122,16.03
8.56,86,18.5
9.03,113,22.05
6.11,110,15.56
8.63,104,19.91
9.16,86,21.54
9.02,133,22.51
6.19,92,15.59
5.7,116,16.09
6.44,94,15.08
9.05,97,21.33
7.15,143,17.84
6.19,108,16.23
9.41,119,19.79
8.95,113,23.12
7.35,122,15.79
8.8,89,20.0
5.36,150,16.98
7.11,125,19.71
8.36,82,17.82
6.97,147,17.19
6.66,122,16.97
8.51,115,19.85
9.67,133,24.01
9.38,85,21.93
7.04,92,18.28
5.15,129,14.11
6.36,109,17.06
6.44,105,15.32
7.76,87,17.95
5.98,111,15.15
7.71,89,18.43
6.84,99,16.09
5.63,122,14.42
5.4,112,14.5
5.34,145,14.87
8.2,82,19.74
6.75,118,18.02
6.87,128,18.49
8.51,117,19.12
5.13,147,14.43
6.56,119,18.23
8.32,118,18.76
7.62,144,20.01
7.43,106,16.64
9.31,108,23.28
5.21,111,13.43
9.34,141,23.34
6.99,140,17.54
9.86,133,24.11
5.27,106,13.99
6.61,111,15.84
5.56,140,15.44
9.89,140,22.66
8.39,115,19.9
8.0,91,18.91
7.86,111,17.76
6.18,123,17.37
9.94,112,25.47
7.45,92,17.75
5.95,141,18.23
7.44,118,18.7
6.11,147,18.78
8.64,125,20.71
6.65,147,19.19
5.77,112,14.91
6.48,144,17.37
8.66,114,21.19
6.36,147,18.67
9.79,142,23.0
5.38,136,15.35
7.51,136,17.94
9.68,133,22.86
9.3,124,21.87
5.43,130,15.26
8.85,82,22.23
8.24,142,20.21
8.63,118,21.5
9.16,145,22.72
9.17,136,24.84
5.77,137,16.04
6.1,148,15.6
7.09,92,17.45
5.08,135,15.18
7.66,117,19.53
7.36,127,18.27
9.88,117,23.62
6.79,125,17.43
6.63,87,16.24
8.75,137,21.1
7.06,97,14.69
5.66,82,13.58
6.03,110,14.23
9.26,141,22.61
8.22,124,20.46
6.34,150,18.54
6.57,120,16.74
7.76,138,18.09
6.48,110,16.05
6.03,98,13.2
5.9,83,12.01
7.03,92,16.87
7.98,150,20.53
8.59,103,20.84
8.94,92,20.5
7.44,145,18.48
