Age,Pclass,SibSp,Parch,Survived
64.5,3,0,1,1
27.3,1,5,1,0
34.2,1,3,3,1
29.5,2,4,0,0
13.6,1,5,0,1
46.0,3,2,2,0
40.5,3,1,0,1
41.1,1,3,3,1
17.3,1,2,2,0
49.6,3,4,2,1
10.4,3,0,1,0
38.2,2,4,1,1
60.7,3,5,0,0
16.1,1,1,2,0
22.1,1,5,1,1
31.4,3,3,3,0
23.0,3,3,1,1
8.3,1,1,1,0
31.0,3,2,2,0
15.1,3,2,2,0
36.6,3,3,4,0
17.1,3,3,3,0
51.7,3,0,2,0
19.0,3,2,0,0
25.5,3,1,3,0
41.4,1,2,3,1
12.8,1,0,2,1
33.2,2,5,3,0
48.3,3,3,2,1
7.5,1,3,1,0
32.6,3,0,4,1
33.6,3,1,1,1
40.9,1,3,2,1
12.7,3,4,2,0
11.5,3,3,1,1
37.3,3,4,0,0
34.2,1,0,0,1
33.5,3,0,0,0
34.9,3,3,2,0
20.5,3,2,3,1
33.3,3,4,2,1
34.1,3,1,3,0
20.0,3,3,1,1
56.1,3,1,4,0
36.6,3,3,3,1
13.3,1,2,0,0
39.2,3,2,2,0
16.4,3,2,1,0
41.0,3,5,0,0
46.2,1,2,1,0
18.5,3,0,4,0
43.5,2,0,2,0
35.8,3,5,2,1
41.5,1,4,4,1
56.6,3,1,2,0
26.6,3,3,3,0
19.4,1,3,1,0
17.5,3,5,0,0
18.6,2,0,4,1
28.9,3,3,3,0
34.8,3,0,0,0
33.9,3,4,0,0
41.6,3,1,4,0
30.2,3,4,3,1
50.3,2,5,0,1
26.3,2,2,0,0
68.1,3,2,3,0
38.8,3,2,2,1
18.0,3,4,0,1
15.0,3,3,1,0
36.8,2,1,3,0
26.9,3,2,0,0
40.0,1,5,4,0
36.6,3,5,1,0
29.0,1,2,0,0
18.1,2,2,1,0
8.8,2,1,1,0
23.7,2,2,2,1
42.0,3,1,1,0
33.0,2,5,2,0
12.6,3,2,3,0
32.4,1,4,2,0
35.4,2,4,4,1
17.6,1,5,0,0
32.2,1,1,3,0
30.8,3,4,3,1
14.0,3,1,4,0
35.0,3,4,2,1
37.9,3,4,0,0
45.2,2,1,2,0
44.8,3,3,1,0
10.7,3,4,2,0
16.9,3,2,3,1
37.2,1,5,0,1
37.2,2,3,2,0
37.2,2,1,0,0
80.0,2,3,0,1
38.0,3,0,1,1
45.9,3,0,1,0
43.4,3,4,3,0
39.1,3,4,4,0
25.6,3,2,0,1
40.6,3,5,4,0
19.2,3,3,3,0
26.7,1,0,0,1
23.2,1,4,0,0
31.1,1,5,4,0
62.4,3,3,2,0
3.9,3,4,1,0
39.6,2,4,2,0
7.4,3,0,4,0
23.4,1,0,1,0
45.2,3,4,2,0
30.9,2,1,1,1
14.9,1,4,0,1
20.0,3,5,2,0
39.5,2,4,1,0
19.8,2,2,1,0
33.0,2,2,1,0
30.6,3,2,2,0
20.9,3,1,3,1
60.0,2,1,2,0
38.9,3,4,4,0
1.6,3,2,2,0
32.6,2,1,1,1
20.7,2,0,0,0
41.9,1,4,2,1
18.9,1,5,2,0
28.4,3,3,1,1
37.1,1,4,0,1
42.1,3,3,0,0
13.2,3,2,4,0
25.3,1,3,2,0
23.4,3,2,0,0
20.9,2,0,0,1
54.7,3,3,3,1
35.7,3,4,3,1
12.3,3,2,0,1
42.9,3,4,4,0
59.7,1,1,0,0
44.5,3,2,1,1
8.7,3,3,2,0
23.2,3,2,4,1
47.7,3,4,1,0
20.1,3,0,4,0
36.2,1,2,1,1
40.8,1,3,2,0
17.0,3,1,2,1
29.2,2,5,3,1
0.0,3,0,1,1
15.7,3,1,3,1
26.5,2,2,1,0
12.5,1,4,3,1
52.9,3,4,2,0
10.0,2,3,4,0
23.8,3,4,3,0
31.8,2,0,1,0
50.2,3,4,1,0
9.9,1,3,2,0
46.3,3,5,1,0
30.1,3,2,0,1
16.3,3,2,4,0
36.5,1,4,3,1
32.8,3,1,4,1
21.6,3,2,2,1
31.0,1,5,3,0
24.6,1,4,3,1
31.6,1,3,0,0
39.3,3,5,2,1
52.2,3,4,1,0
12.7,3,5,0,1
59.9,1,2,0,1
2.7,2,3,4,0
27.9,3,4,4,0
38.2,3,0,4,1
33.9,3,3,0,0
21.3,1,0,1,1
27.1,3,5,3,0
23.1,2,1,4,0
21.7,2,3,1,1
41.9,3,5,2,1
35.0,3,0,4,1
20.3,3,2,3,0
42.6,1,2,2,1
34.3,1,1,2,0
41.4,3,3,3,0
38.8,3,3,4,1
18.4,2,3,0,0
22.2,1,5,3,0
40.5,1,1,3,0
38.5,3,3,3,1
29.7,1,5,2,0
31.6,2,2,1,1
47.9,1,0,0,0
21.7,2,5,4,1
37.7,1,2,4,1
27.2,3,2,1,0
27.0,1,0,3,0
45.4,3,2,0,0
41.6,1,1,4,0
41.4,3,0,4,1
48.3,3,2,3,0
30.3,3,4,1,1
39.5,3,5,0,0
25.7,2,2,1,0
34.5,2,1,1,1
28.2,3,3,0,0
31.4,3,2,0,0
38.3,3,3,4,0
18.5,3,4,4,0
59.3,3,2,0,0
15.9,3,0,2,0
13.0,1,3,4,1
46.2,3,4,2,0
41.1,3,0,0,0
38.7,1,0,4,0
38.8,3,0,1,0
29.8,1,0,0,1
17.4,3,2,3,1
31.1,1,5,2,0
20.5,3,2,0,1
43.7,3,2,0,0
27.9,2,4,4,0
18.4,3,4,4,0
25.5,3,5,4,0
35.8,3,4,3,0
22.1,1,1,4,0
18.5,2,5,0,0
33.4,1,4,4,1
33.4,3,5,1,0
22.9,3,2,4,0
23.4,3,2,3,1
33.2,3,5,1,0
9.7,3,1,0,0
10.3,3,1,0,1
19.9,1,5,2,1
27.0,3,4,1,1
34.4,1,3,2,1
50.7,3,1,1,1
42.0,3,0,1,1
27.8,3,2,3,0
29.7,1,5,2,0
16.0,2,0,3,0
29.7,2,5,1,0
26.0,2,2,0,1
34.5,1,2,1,1
18.4,3,1,3,0
37.3,3,1,2,0
51.5,2,0,2,1
28.5,2,5,3,0
35.6,3,2,2,1
39.7,3,0,4,0
24.4,3,3,0,0
33.1,3,0,0,0
30.2,3,4,0,0
31.4,3,0,2,1
19.2,3,4,2,1
30.3,1,4,1,1
37.0,3,4,1,0
50.3,1,3,0,0
43.4,3,0,4,1
60.1,2,0,1,1
19.3,3,3,1,0
42.2,3,2,2,0
32.6,3,1,4,1
60.7,3,0,0,0
18.7,2,1,1,0
18.2,1,5,4,0
21.6,2,5,4,0
0.3,1,3,0,1
22.6,3,5,4,1
19.4,2,5,4,0
32.1,3,2,4,0
34.8,3,2,1,0
56.3,3,2,0,0
43.3,1,5,4,0
21.9,3,3,4,0
17.4,3,4,1,0
36.9,3,4,0,0
11.5,3,1,2,0
55.6,3,4,1,0
46.5,1,4,0,0
23.4,3,2,4,0
6.0,2,2,0,1
49.0,1,5,0,0
28.4,2,1,0,0
47.3,1,0,2,1
7.7,1,1,0,1
21.6,1,1,2,0
30.1,3,3,4,1
30.7,3,5,2,0
23.7,3,3,4,0
38.7,2,1,4,0
15.1,2,1,2,1
28.0,3,1,1,1
31.7,2,4,3,0
37.2,1,3,0,0
40.0,3,1,3,1
14.3,1,2,0,0
8.5,3,5,0,0
47.9,3,5,4,1
34.7,1,2,0,1
19.5,1,5,0,1
51.7,3,4,2,1
31.6,3,4,3,0
46.5,1,0,2,1
30.9,3,0,0,0
58.9,1,0,4,0
54.6,3,5,2,0
26.5,3,4,2,0
43.6,1,4,1,0
39.0,1,4,0,0
49.2,1,2,4,1
16.5,2,4,2,0
39.6,1,2,2,0
44.8,3,0,4,1
5.4,1,0,0,0
13.4,3,5,1,0
1.5,3,0,2,0
26.2,3,5,1,0
40.0,3,1,3,0
51.0,2,1,0,0
31.0,3,3,3,0
52.8,3,5,3,0
10.7,2,3,3,0
6.2,1,3,0,0
29.2,3,1,0,1
35.4,3,5,4,1
29.5,1,1,1,0
1.1,2,3,1,0
28.8,2,5,4,1
11.7,3,3,4,0
39.4,3,4,3,0
35.1,3,5,4,0
16.8,1,5,2,1
22.8,2,3,1,1
15.2,3,4,4,0
29.1,1,2,2,1
43.4,2,1,2,0
16.2,3,3,2,1
37.1,1,5,2,0
22.6,3,1,3,0
18.9,1,1,2,1
28.5,1,1,3,0
15.5,2,2,3,0
22.2,3,0,2,1
13.2,3,3,1,0
57.5,3,0,2,0
30.5,3,0,2,0
20.2,1,0,2,1
33.0,3,1,1,1
28.4,3,4,0,0
26.9,3,1,0,1
38.6,1,1,3,0
40.6,3,5,3,1
22.6,1,5,1,0
21.9,2,0,4,0
26.1,3,1,0,1
0.0,3,0,3,0
8.8,2,5,0,0
49.1,2,4,1,0
53.0,3,3,1,1
26.5,3,0,4,0
38.1,3,4,4,0
34.4,3,3,1,0
73.1,3,2,3,0
45.7,2,0,0,0
28.2,3,0,2,1
16.6,2,2,4,1
7.5,2,2,2,0
32.8,3,0,3,0
19.4,1,2,4,0
10.1,3,1,2,0
20.9,3,3,3,1
14.9,3,3,0,0
53.6,3,3,3,0
42.3,3,1,4,1
29.9,3,2,1,0
50.7,3,4,0,1
31.1,1,2,2,0
17.9,3,0,4,1
51.3,1,5,1,1
37.5,3,3,3,1
15.5,3,2,1,1
27.3,3,4,4,0
17.7,1,0,4,0
10.6,1,1,1,0
43.0,3,1,3,0
56.7,1,4,1,0
10.4,1,0,4,0
37.9,1,3,4,0
20.9,3,2,2,0
23.2,3,0,2,0
21.7,2,1,0,1
17.9,2,4,4,0
30.7,2,4,2,0
18.4,3,2,1,0
33.8,3,4,3,0
29.3,1,4,1,1
26.7,1,0,3,0
17.3,1,3,2,0
21.9,3,2,0,1
40.6,3,0,1,0
37.0,2,3,1,0
16.3,1,0,1,0
31.4,1,5,3,1
40.5,3,0,2,0
6.6,2,4,1,0
37.6,3,3,1,0
20.7,3,2,0,0
38.0,2,2,0,0
19.3,1,3,2,0
4.7,1,4,2,0
7.2,3,1,4,1
30.7,3,0,0,1
33.6,3,4,4,0
17.3,3,5,3,1
38.9,1,3,4,0
6.7,3,0,1,0
29.1,3,2,4,1
13.0,2,1,2,1
20.9,3,5,3,1
30.7,3,2,1,0
18.0,3,3,4,1
24.6,3,0,3,0
44.1,3,3,3,1
21.9,3,0,1,1
41.7,1,4,4,0
14.2,2,1,3,1
37.4,3,4,3,0
50.2,1,4,0,0
0.0,2,3,3,0
18.8,2,1,0,0
38.1,2,0,4,1
27.2,3,0,4,1
35.2,3,5,4,0
21.5,2,2,2,1
31.2,1,5,4,1
27.8,1,5,3,0
46.3,3,0,1,1
33.6,3,3,0,0
34.7,2,4,2,1
24.2,3,4,4,0
23.2,3,4,4,0
23.9,3,1,1,0
35.5,3,0,1,1
24.1,2,3,2,0
34.1,3,1,0,0
59.1,3,2,4,0
42.2,3,3,2,1
25.4,3,5,3,0
46.8,3,3,3,0
24.3,3,3,2,0
1.5,1,4,4,0
15.9,3,3,2,1
3.8,3,5,4,1
25.1,3,5,1,0
30.3,1,0,2,0
53.5,1,3,4,1
34.6,1,4,2,0
26.9,3,3,2,1
41.6,3,2,4,1
0.0,1,2,4,1
33.3,3,4,0,0
40.8,3,0,2,0
9.3,3,0,3,1
46.0,3,5,2,0
34.7,3,5,2,0
24.2,3,1,4,0
38.9,2,4,2,1
61.8,3,3,2,0
32.5,3,4,3,0
33.5,3,1,4,0
23.6,3,5,2,0
18.1,3,4,1,1
41.6,1,4,0,0
18.0,3,5,3,0
31.0,1,1,2,1
23.3,2,5,1,0
36.7,3,0,2,0
34.7,3,3,2,0
44.5,1,5,4,0
22.9,2,1,4,0
26.2,3,2,4,0
16.3,1,0,1,0
23.8,3,2,2,0
35.3,3,5,0,0
40.6,3,0,3,0
17.1,1,3,4,0
42.2,2,5,4,1
49.0,3,3,2,0
35.8,3,4,2,0
56.3,1,2,1,0
19.2,3,0,1,0
12.6,1,3,4,0
5.1,3,1,2,0
50.9,1,3,0,1
39.2,3,1,3,0
29.2,2,5,2,1
33.9,2,0,2,0
14.2,1,3,1,0
64.2,2,3,3,0
31.8,3,0,4,0
31.5,3,3,2,0
40.2,2,1,4,1
36.7,3,3,2,0
33.1,3,2,4,1
18.9,3,5,3,1
36.6,3,4,1,0
56.3,2,1,3,0
48.8,2,2,0,0
52.3,3,5,1,0
22.8,1,0,3,0
16.1,3,1,0,0
28.2,2,4,2,0
30.8,3,5,2,0
45.3,1,4,4,1
6.3,3,0,1,1
51.4,3,0,2,1
27.8,3,1,1,0
24.0,1,3,2,0
15.8,3,0,4,0
6.8,3,5,3,0
41.5,3,3,4,0
31.0,3,2,0,1
11.9,3,4,2,1
11.9,3,3,0,0
25.3,2,4,0,0
53.4,3,3,1,0
26.4,3,2,2,0
9.0,1,0,0,0
26.6,1,2,3,0
26.2,2,0,0,0
0.0,3,0,3,1
29.2,3,4,1,0
26.8,3,5,0,1
39.7,3,2,4,0
55.9,3,3,1,0
45.8,1,2,3,0
26.2,2,4,1,0
14.5,2,0,0,0
66.0,1,4,2,1
30.8,1,1,2,1
30.2,3,1,3,0
29.7,3,3,3,0
32.8,3,4,2,1
28.0,3,3,3,0
22.0,3,3,1,0
22.3,2,1,4,0
29.5,3,3,4,1
22.4,3,1,1,1
20.0,1,0,4,0
31.5,2,4,0,1
26.4,3,3,1,1
51.1,2,1,3,0
0.0,3,2,1,0
45.3,3,3,2,0
47.4,1,5,3,1
1.0,2,0,2,0
25.2,2,0,3,1
24.8,1,2,4,0
10.3,1,1,1,1
19.1,3,3,0,0
14.5,2,1,3,0
54.5,3,0,3,1
43.1,2,1,2,1
47.8,3,0,4,1
40.1,2,1,2,0
14.2,2,2,2,1
22.7,3,4,4,0
36.9,3,2,0,0
12.9,1,2,2,0
40.0,3,4,2,0
26.6,3,4,3,0
24.8,3,3,4,1
40.0,1,3,1,0
36.2,1,2,0,1
24.9,3,2,0,0
46.2,3,0,4,0
14.9,2,0,3,0
38.6,3,3,3,1
38.3,3,5,4,1
25.7,1,5,3,1
34.6,3,3,0,1
12.5,1,0,0,0
42.9,3,0,1,0
27.4,3,5,4,1
22.7,3,1,2,0
44.7,1,1,2,0
20.1,1,0,1,0
10.3,2,1,1,0
8.2,2,4,3,0
38.5,2,3,1,0
12.1,3,3,1,0
54.6,2,0,2,0
0.9,2,2,3,0
53.8,3,5,1,0
33.0,3,0,1,1
28.6,3,1,3,0
22.4,1,5,4,0
35.6,3,2,3,1
29.5,1,1,2,0
45.4,1,4,4,0
31.6,3,1,0,1
32.1,1,4,3,0
24.9,3,5,2,1
29.2,2,4,4,1
34.3,2,5,3,0
6.1,3,5,1,0
11.1,1,5,3,0
40.4,3,5,0,0
32.4,3,5,3,0
27.4,3,1,4,0
30.3,3,5,4,0
34.9,1,1,3,0
22.4,2,5,4,0
19.1,2,4,1,0
32.7,3,5,3,0
16.3,3,2,1,1
35.7,2,5,1,0
6.2,3,5,2,0
44.4,1,4,3,1
36.6,3,3,4,0
33.6,3,4,1,0
43.8,3,2,2,0
53.3,3,3,3,1
44.2,2,0,3,0
4.2,1,0,0,0
12.1,1,2,0,0
21.3,1,4,1,1
30.4,2,1,0,0
37.2,3,2,1,0
19.8,3,3,4,1
32.6,3,3,1,0
19.4,1,5,0,1
21.4,3,0,4,0
10.3,3,3,0,1
17.1,1,2,1,0
11.1,3,3,2,1
16.3,3,2,3,1
44.8,1,1,0,0
16.7,3,5,1,0
66.9,3,0,4,0
36.9,1,3,0,0
32.6,3,2,0,0
18.0,3,4,3,0
39.8,3,0,1,0
21.9,3,1,2,0
31.7,2,2,4,0
65.8,3,5,1,0
28.7,3,5,4,0
46.1,1,1,0,0
20.2,3,1,3,0
29.5,3,5,3,0
54.8,3,3,2,0
21.2,1,3,3,0
55.4,3,2,0,0
39.9,1,4,2,1
22.1,2,2,1,0
38.9,1,4,3,1
43.6,2,1,2,1
38.7,3,0,0,1
8.0,3,2,4,1
19.8,1,2,4,0
26.5,3,4,0,0
29.0,3,1,0,1
38.7,3,1,4,0
32.5,1,4,2,0
11.3,3,1,4,1
35.3,3,5,0,1
38.5,3,3,3,1
37.8,1,5,1,1
45.1,1,0,3,1
41.7,3,2,3,0
36.4,3,0,0,1
29.0,3,2,4,0
6.7,3,3,2,0
36.0,1,1,3,1
32.9,3,5,4,0
33.8,3,4,2,0
12.1,2,5,3,0
14.9,3,3,2,1
44.7,3,0,4,0
29.4,1,4,1,1
39.5,3,1,4,0
30.4,2,3,0,1
30.4,3,4,2,1
43.1,3,3,1,0
22.8,3,3,2,0
31.3,3,1,2,0
23.5,2,2,3,1
23.9,3,4,0,1
25.7,3,1,2,1
33.1,1,3,4,0
23.3,3,1,4,1
47.6,3,2,3,1
17.5,2,5,0,1
27.4,3,4,0,1
23.8,3,2,4,0
50.3,2,0,1,0
32.8,3,4,3,1
44.4,1,2,3,1
9.2,1,3,4,0
33.7,1,4,4,0
42.5,3,4,1,0
31.2,3,1,1,0
44.9,1,3,0,0
22.8,3,0,3,1
49.7,3,5,3,1
62.2,1,2,4,0
24.9,3,1,0,0
23.8,3,2,3,0
50.3,3,0,0,0
52.1,3,0,0,1
22.7,2,4,4,1
24.1,3,0,0,0
26.1,3,2,1,1
11.2,3,3,1,1
17.1,1,3,2,1
15.9,3,4,4,0
19.3,2,5,2,1
29.5,1,2,1,0
33.3,1,2,2,0
51.7,3,0,4,0
16.0,3,2,4,0
43.8,3,1,0,0
27.0,3,5,3,0
29.3,1,0,0,0
39.4,3,1,4,1
14.3,1,4,1,1
35.4,3,3,1,0
32.3,3,4,0,1
36.9,3,3,4,1
34.0,3,4,1,1
64.4,2,2,4,0
21.1,3,1,1,1
22.6,3,3,4,1
21.3,3,0,2,1
22.2,2,1,4,0
21.1,3,0,4,0
46.6,3,1,0,1
49.9,2,1,2,0
22.0,1,4,3,0
18.3,3,3,0,0
36.6,3,3,3,1
22.3,1,1,1,1
38.9,1,2,3,0
32.8,1,2,4,1
8.8,2,0,3,0
51.7,3,0,0,1
55.1,3,4,0,1
21.4,3,1,3,1
24.6,3,0,0,1
34.0,2,0,0,0
34.7,3,5,3,1
39.2,3,1,2,0
58.1,3,4,2,1
27.5,3,0,1,1
18.8,1,4,0,1
10.7,3,3,3,0
19.8,2,4,0,1
29.5,3,2,4,0
55.1,1,2,0,0
22.8,1,4,0,1
33.1,3,2,2,0
29.8,1,3,3,1
46.6,3,1,0,0
65.4,2,2,2,0
22.6,3,2,1,1
23.1,3,4,2,0
44.6,3,3,2,0
39.5,2,1,2,1
55.9,1,4,0,0
38.2,1,4,0,0
25.0,2,5,1,0
38.3,3,3,4,1
45.5,3,1,4,1
41.5,3,3,4,1
37.1,3,1,1,0
44.9,3,3,4,1
46.4,3,4,4,1
49.4,2,4,2,1
39.1,3,0,0,0
27.7,3,2,0,1
32.1,3,5,2,1
46.9,1,3,2,0
18.6,3,5,2,0
35.2,3,0,0,1
24.5,3,2,4,0
30.4,3,3,2,1
47.9,2,1,1,1
32.7,3,2,2,1
30.7,1,4,3,0
11.0,2,0,2,0
40.4,1,2,0,1
39.0,3,2,2,0
60.3,3,4,3,1
25.7,2,3,1,0
33.1,3,1,4,0
33.5,2,4,2,0
52.1,3,1,3,0
28.7,3,3,3,1
33.9,3,2,1,0
38.5,1,1,0,0
32.6,3,0,2,0
23.7,3,0,3,0
32.7,2,4,1,0
45.0,3,3,4,1
15.6,2,4,3,0
31.9,3,4,1,0
20.2,1,5,0,0
46.7,3,4,0,1
8.7,3,5,3,0
22.2,1,0,3,0
35.3,2,0,2,1
51.9,1,4,1,0
29.1,3,0,3,0
22.2,2,3,2,0
56.3,3,5,2,1
9.7,2,5,3,0
0.0,2,4,0,1
36.2,3,0,1,1
23.0,1,1,1,0
15.7,3,5,0,0
39.9,3,4,3,0
33.4,3,4,1,1
22.1,3,3,3,0
12.1,3,2,3,0
42.2,1,2,2,0
39.1,1,5,0,1
28.6,1,3,3,0
55.9,3,3,4,1
15.0,1,3,0,0
8.6,3,5,1,0
20.3,3,2,2,0
29.4,3,3,1,0
33.4,3,0,1,0
26.6,1,4,0,0
34.9,3,4,1,1
12.5,3,1,3,1
50.2,1,1,1,1
28.8,1,5,2,0
45.6,3,5,2,0
34.8,3,4,4,0
36.4,3,0,2,1
38.0,3,2,1,1
36.3,3,2,2,0
39.0,3,5,0,0
48.6,2,0,2,0
32.8,2,5,3,0
39.9,2,2,0,0
28.7,3,5,4,1
50.2,3,3,3,1
20.5,3,5,1,0
55.2,3,4,1,0
29.4,3,5,1,1
10.0,3,4,3,0
31.8,3,0,3,0
20.5,3,2,3,0
41.8,1,1,0,0
20.9,3,1,0,0
23.8,1,2,1,1
3.5,2,1,2,0
23.7,3,5,1,0
0.0,3,0,4,1
7.8,3,0,0,0
40.6,3,2,3,1
41.0,3,1,0,1
36.0,3,5,3,0
16.5,3,0,4,1
29.3,1,0,4,0
29.9,2,3,0,1
13.8,2,3,3,0
51.0,3,0,4,1
42.3,1,2,1,1
26.9,1,4,1,0
30.4,2,4,3,0
32.9,3,5,0,1
1.4,2,0,4,1
26.5,3,0,0,0
20.5,1,0,1,1
16.0,3,2,4,0
26.1,2,3,0,0
55.2,1,0,2,0
39.0,3,0,3,0
22.0,1,1,3,1
38.0,1,2,2,0
