age,salary,experience_years,education_level,department,city,gender,score,last_promotion_years,joining_year,projects_completed,overtime_hours, leaves_taken,performance_rating,work_life_balance,travel_frequency
25,,35.0,High School,HR,Mumbai,Female,95.90892883762197,9,2016,0,11,2,3,2.939253221707147,Rarely
31,55440.0,24.0,PhD,HR,Hyderabad,Other,31.27412324376333,0,2015,22,13,28,4,1.5604087112031566,Very Often
40,115082.0,2.0,PhD,HR,Mumbai,Other,24.068532021069323,11,2018,4,7,13,4,3.4972552947353663,Very Often
57,125583.0,8.0,PhD,IT,Delhi,Other,88.80690204626343,3,2004,18,8,33,2,4.814928260977074,Rarely
38,76683.0,21.0,Master,Marketing,Bangalore,Other,85.25048508322286,9,2022,34,1,21,2,1.2250140484126804,Rarely
33,,22.0,Bachelor,HR,,Female,32.81604201436864,10,2005,32,20,35,5,2.0964187506529908,Often
62,61430.0,11.0,Bachelor,HR,Mumbai,Other,6.880515375705398,12,2023,45,1,14,3,4.998726138860671,Often
35,21987.0,9.0,High School,Finance,,Other,,1,2016,17,28,36,3,1.0219499771306535,Very Often
64,134778.0,33.0,Bachelor,Marketing,Hyderabad,Other,68.07042874617848,9,2015,39,23,9,1,1.5582236835898975,Rarely
41,45105.0,9.0,Master,Marketing,Pune,Male,92.65804970841343,10,2015,13,15,8,2,1.3230851457465262,Rarely
43,98484.0,29.0,Bachelor,Finance,Hyderabad,Other,34.18744743194615,8,2006,19,19,34,4,4.056253213580593,Often
42,138747.0,21.0,Master,Marketing,Hyderabad,Male,64.76854190829941,1,2015,12,10,16,1,4.003717380045501,Rarely
62,33026.0,5.0,High School,Sales,Bangalore,Other,67.44972302066128,10,2008,15,19,17,4,4.110339258245109,Often
58,88309.0,1.0,PhD,IT,Mumbai,Other,87.2905467538919,8,2022,40,9,24,1,4.099425187569242,Often
46,65927.0,29.0,Master,Finance,Pune,Male,99.3058037116004,0,2005,30,7,34,2,4.340881119979494,Rarely
32,95414.0,1.0,PhD,HR,Bangalore,Other,10.866617852398663,13,2015,38,6,15,3,4.091516748556341,Often
62,77535.0,31.0,High School,Marketing,Bangalore,Male,63.11168454304315,6,2008,34,0,24,3,2.9341857542292407,Very Often
18,62946.0,15.0,Master,Sales,Bangalore,Other,33.643994836258614,14,2003,19,22,15,2,3.981937587916847,Often
42,146503.0,11.0,Master,Sales,Delhi,Other,81.1658427060122,5,2021,0,29,23,4,3.3904659711287564,Very Often
24,76561.0,0.0,Bachelor,IT,Delhi,Male,75.41479847464423,5,2005,39,9,11,5,2.466090296171112,Rarely
26,30377.0,7.0,Master,Sales,Bangalore,Female,89.25185242239138,1,2013,45,18,34,5,4.346298562949093,Rarely
41,73592.0,12.0,High School,Marketing,Delhi,Male,34.37028772804831,14,2002,12,4,8,2,4.15215873369965,Rarely
18,27347.0,14.0,PhD,Marketing,Pune,Female,18.453034415776504,0,2022,6,23,36,1,1.6939658290543926,Rarely
61,53776.0,7.0,Master,Sales,Mumbai,Male,2.18016771511641,9,2016,44,21,31,3,1.0977138403658486,Rarely
25,23783.0,9.0,High School,Marketing,Pune,Female,25.550668371821118,7,2010,21,7,18,4,2.2638993673840755,Often
41,75798.0,4.0,High School,Marketing,Mumbai,Other,36.7171539755231,7,2023,6,20,21,5,2.615069988048687,Rarely
28,24298.0,18.0,Master,HR,Delhi,Female,94.6066985947992,1,2007,19,25,33,3,1.697430235848345,Rarely
68,90204.0,37.0,Bachelor,Finance,Pune,Other,49.13726338472527,3,2007,36,8,18,2,4.420505090936377,Rarely
34,106207.0,10.0,Master,Marketing,Hyderabad,Male,55.64395041087895,12,2024,35,28,11,3,1.1343223460494674,Very Often
25,120356.0,19.0,Master,Marketing,Bangalore,Female,88.01287620481148,12,2003,3,12,17,5,2.9344756748719143,Often
52,75161.0,19.0,Bachelor,IT,Mumbai,Other,88.50695137641408,3,2014,5,13,4,4,1.2219096152135767,Rarely
52,80652.0,20.0,High School,Finance,Mumbai,Male,52.7915826563202,14,2015,45,26,25,1,3.1465489534277515,Rarely
50,54484.0,17.0,Master,Finance,Hyderabad,Female,11.370349873333174,1,2021,2,5,26,1,2.854596962039403,Often
22,,9.0,Bachelor,Finance,Hyderabad,Other,27.051616468122962,10,2010,2,10,19,3,4.120608778489439,Very Often
59,149572.0,33.0,PhD,Sales,Bangalore,Female,45.68882000061222,8,2006,2,8,7,1,3.758700037808508,Rarely
56,,25.0,PhD,HR,Delhi,Female,75.11694951778865,11,2017,35,12,15,5,4.375821452188475,Very Often
58,,29.0,Bachelor,HR,Pune,Other,71.16817483291122,13,2005,8,3,1,4,3.1773860819821693,Often
45,54028.0,8.0,High School,IT,Pune,Other,64.27082352997652,3,2023,15,1,0,1,4.289748467621839,Rarely
24,131461.0,30.0,Bachelor,Finance,Pune,Male,88.02455598023444,3,2003,15,29,4,1,3.8765421091830308,Often
26,40316.0,3.0,High School,Finance,Delhi,Other,80.26464083071254,14,2004,11,23,30,2,4.118003490017442,Rarely
25,96996.0,5.0,PhD,Marketing,Bangalore,Other,98.21142408076304,14,2023,37,20,22,1,3.4027085321767667,Rarely
29,36968.0,13.0,Master,Sales,Pune,Female,88.91585209331556,3,2002,19,1,20,1,3.878304679021628,Rarely
51,50266.0,3.0,Bachelor,Sales,Mumbai,Other,19.565642784342852,4,2005,30,21,11,5,2.606859862265273,Rarely
50,145679.0,25.0,PhD,IT,,Female,5.761656552039563,9,2013,29,12,3,1,1.3399282241889359,Often
65,115745.0,38.0,Master,HR,Mumbai,Female,41.45109440443233,11,2000,20,18,36,2,2.666341525712112,Rarely
40,44000.0,16.0,PhD,Finance,Hyderabad,Other,61.750445090127904,11,2019,2,0,10,2,1.6936016067027357,Very Often
41,143239.0,18.0,Bachelor,IT,Hyderabad,Other,64.31034996950392,7,2013,20,27,39,2,3.517517097025829,Rarely
54,34011.0,,Bachelor,Sales,Delhi,Other,26.751276151835867,3,2005,27,5,8,1,2.0529694032830306,Often
52,22866.0,28.0,Master,Sales,Pune,Other,85.98809644486704,2,2002,27,26,25,3,4.832565990242842,Very Often
61,132669.0,10.0,Bachelor,Sales,Hyderabad,Male,32.924646364542696,10,2016,4,7,38,3,2.084774662462806,Rarely
57,,15.0,PhD,Finance,Mumbai,Female,91.91146063831435,0,2021,6,16,26,5,1.3925308005149297,Often
39,38395.0,29.0,Master,Finance,Hyderabad,Male,47.16014013032215,1,2013,4,2,28,3,4.522493769943041,Often
44,59019.0,24.0,Master,Finance,Mumbai,Male,1.0390666041836027,3,2018,8,5,24,5,2.657645279766069,Rarely
52,123243.0,39.0,PhD,Marketing,Pune,Female,16.204131119474617,8,2023,46,25,17,5,2.4231464944467933,Very Often
18,24006.0,10.0,High School,HR,Delhi,Male,10.231925665499764,14,2006,20,28,29,2,4.541553449120904,Often
52,54393.0,6.0,Master,Sales,Bangalore,Other,4.402579580030763,13,2010,19,18,7,4,3.6138189791940634,Often
54,30956.0,25.0,High School,Sales,,Other,71.4017310810676,0,2006,37,6,1,5,3.12868647674758,Very Often
64,70042.0,21.0,PhD,Marketing,Mumbai,Other,19.231587306040222,5,2012,39,14,21,1,2.308515240675058,Rarely
31,116199.0,24.0,PhD,Sales,Hyderabad,Other,83.86197944064861,5,2023,36,5,20,2,2.1699765941064304,Rarely
20,26078.0,18.0,Master,Sales,,Female,26.446882881443003,9,2022,16,24,38,1,3.318044980695982,Rarely
18,49631.0,30.0,Bachelor,Finance,Mumbai,Other,3.2327106490841473,2,2020,41,28,25,1,3.0055785077349717,Rarely
22,,25.0,Master,Finance,Pune,Female,82.0675343975229,9,2023,27,21,28,3,2.1040110896567836,Very Often
43,141724.0,35.0,Bachelor,HR,Mumbai,Female,46.614585053098715,8,2013,30,22,4,1,1.7361925111821312,Often
31,82901.0,22.0,High School,Sales,Pune,Female,59.95054402689939,13,2023,32,17,13,5,4.272038060842109,Rarely
56,127227.0,12.0,Bachelor,IT,Delhi,Female,33.622728864156315,9,2010,31,9,34,1,3.750987602178921,Often
44,89497.0,24.0,Master,Sales,Delhi,Male,4.604039615564181,2,2007,31,3,5,1,4.973172095457231,Often
26,114813.0,1.0,Bachelor,Sales,Mumbai,Male,37.01770891641246,0,2011,47,4,22,3,3.0632004239669235,Very Often
32,137192.0,1.0,PhD,HR,Delhi,Other,51.82863702935722,1,2014,22,17,16,1,4.977551700686764,Often
32,61574.0,15.0,High School,IT,Hyderabad,Female,1.1686603536618545,14,2009,20,26,23,5,2.843306144233137,Rarely
43,138494.0,8.0,PhD,Sales,Pune,Other,57.42900322038188,14,2021,24,9,39,5,3.139827120459683,Often
59,51417.0,27.0,PhD,IT,Bangalore,Other,89.30421545591729,3,2001,32,9,28,1,1.8364281651097092,Rarely
30,108020.0,12.0,PhD,Finance,Bangalore,Other,21.784052242002627,3,2023,2,9,29,5,1.5980364451202234,Rarely
68,,34.0,PhD,Finance,Delhi,Other,92.67691611483988,1,2012,5,6,23,5,4.760877978667449,Rarely
49,85006.0,12.0,Bachelor,IT,Pune,Female,9.760851882358601,9,2009,48,19,34,3,4.92486275616824,Often
56,114881.0,30.0,PhD,Sales,Hyderabad,Female,82.54363502228216,5,2016,27,13,36,2,3.19023879949772,Very Often
66,131862.0,20.0,Bachelor,IT,Bangalore,Male,84.03243583021572,14,2024,1,24,1,2,2.0890157942345136,Often
69,59454.0,31.0,PhD,IT,Hyderabad,Female,25.77598628981389,5,2024,31,29,20,4,4.805611275796542,Very Often
49,21587.0,33.0,Master,Finance,Hyderabad,Female,95.78434079084673,2,2021,25,7,39,2,4.186991666464291,Very Often
21,141688.0,7.0,PhD,IT,Bangalore,Other,41.65987257117777,0,2009,4,25,4,1,1.7192334654862997,Very Often
47,128107.0,1.0,Master,Marketing,Bangalore,Female,14.125608746559381,9,2021,10,8,34,5,2.1933626876764727,Often
54,135584.0,37.0,Bachelor,Marketing,Delhi,Other,59.171445082716666,8,2005,9,23,34,2,1.016826181104149,Very Often
40,74710.0,31.0,High School,Finance,Pune,Female,99.66147040452663,3,2019,14,4,18,3,3.328009849123874,Very Often
56,143157.0,39.0,Bachelor,Sales,,Male,89.92915489592944,8,2000,17,24,15,4,3.1055849021396855,Very Often
62,,27.0,High School,Sales,Pune,Other,27.860282611510247,4,2016,48,20,24,1,1.6555557871538613,Rarely
32,111748.0,36.0,High School,Finance,Mumbai,Female,57.69865993783756,6,2000,13,7,15,2,2.3573063588554715,Very Often
60,95886.0,0.0,PhD,Sales,,Female,11.536765967681662,2,2004,27,19,30,5,4.756882268900238,Rarely
46,38816.0,9.0,High School,HR,Hyderabad,Other,46.18448043370894,14,2014,29,28,32,3,3.5959743548171597,Very Often
53,105824.0,3.0,Bachelor,Marketing,Pune,Male,52.307006769118146,2,2022,12,4,16,2,4.45199838406657,Often
30,49432.0,34.0,PhD,HR,Hyderabad,Male,31.527829833112854,7,2000,19,26,20,5,4.3532462768250255,Rarely
49,129758.0,9.0,High School,HR,,Female,48.41870829370056,0,2016,1,19,34,2,4.6826378220334295,Very Often
24,,10.0,Bachelor,HR,Pune,Female,91.99384581811736,7,2013,24,17,22,1,1.166162777583596,Often
68,92373.0,,High School,Finance,Hyderabad,Female,50.01376371797307,7,2012,43,3,15,4,2.0498834648584623,Rarely
39,54217.0,37.0,High School,HR,Delhi,Other,83.09903105675974,2,2010,42,10,37,5,2.6622921738587024,Often
45,40884.0,11.0,PhD,IT,Bangalore,Other,31.739042916343386,0,2011,11,20,13,4,3.560390626344965,Very Often
19,25454.0,16.0,PhD,Sales,Delhi,Other,97.14042223724817,8,2005,24,21,39,4,3.43250693680753,Very Often
59,94960.0,15.0,Bachelor,Finance,Delhi,Female,9.346323344518549,3,2010,3,19,32,3,1.9844246625294142,Very Often
62,122421.0,34.0,PhD,IT,Pune,Male,58.558664684198924,6,2001,41,10,20,5,1.7712157818150809,Very Often
23,127173.0,1.0,PhD,IT,,Other,78.98877951668027,8,2017,11,13,16,3,2.7496470978746728,Rarely
45,63618.0,10.0,Master,Marketing,Pune,Male,81.40409863102455,2,2011,6,25,3,4,2.002477439042803,Rarely
45,103948.0,2.0,Master,Marketing,Mumbai,Female,19.82811107870419,4,2022,37,12,15,1,4.860447404504545,Rarely
61,82671.0,28.0,Bachelor,IT,,Other,40.16458886849862,9,2014,39,27,29,1,4.861836754861231,Very Often
61,67111.0,17.0,PhD,Marketing,Hyderabad,Other,62.41961724641031,10,2008,31,3,33,2,1.4534108770625527,Very Often
37,59613.0,19.0,Bachelor,Sales,Pune,Other,31.588270977241663,12,2007,42,15,21,2,3.8203751905998438,Often
47,105678.0,,Master,Sales,Mumbai,Female,65.829601521348,2,2017,5,5,28,5,1.9129117438952803,Often
28,140592.0,33.0,Master,Marketing,Pune,Female,37.87806713127026,4,2015,26,22,4,1,3.8697285502537286,Rarely
45,122928.0,30.0,Master,HR,Mumbai,Female,35.08663225852223,10,2022,34,12,0,4,4.068426591942189,Very Often
42,144917.0,39.0,Bachelor,IT,Bangalore,Male,10.80681714904096,1,2020,20,22,39,1,1.1926676444555895,Very Often
56,79993.0,17.0,PhD,Sales,Pune,Male,3.9252878853045736,3,2009,19,19,24,5,3.781393313865427,Often
50,148652.0,29.0,High School,Marketing,Mumbai,Other,83.5273790012182,11,2011,18,4,5,2,4.587187951264512,Rarely
18,28848.0,24.0,PhD,Marketing,Bangalore,Other,48.95444921560742,1,2019,32,18,22,2,1.8652096145245505,Very Often
44,134853.0,18.0,Bachelor,Sales,Hyderabad,Female,56.287313320900665,2,2011,3,20,32,3,1.4622706628345794,Often
69,98672.0,,Master,Sales,Delhi,Female,37.22210225284805,14,2009,18,9,13,2,3.267298152659649,Rarely
30,139279.0,27.0,High School,HR,Mumbai,Female,13.674204547377045,4,2013,48,4,35,4,3.069837004615084,Rarely
58,86125.0,7.0,Bachelor,Marketing,Hyderabad,Other,44.95719976912065,8,2003,27,13,17,5,4.543079630906597,Rarely
20,106444.0,30.0,Master,Marketing,Bangalore,Female,,2,2014,21,3,39,2,2.8043435901015736,Often
56,137509.0,2.0,Bachelor,Finance,Hyderabad,Male,83.76830467772105,9,2019,23,5,9,2,2.654198073055789,Very Often
23,81602.0,2.0,High School,HR,Pune,Male,98.67885380744899,5,2008,45,4,38,4,3.8558802446386786,Often
25,,21.0,Master,Sales,Delhi,Other,88.90961354758056,3,2006,29,23,11,2,1.3097119281910437,Very Often
44,125997.0,16.0,PhD,Sales,Mumbai,Other,52.82742659256304,3,2006,28,28,37,4,1.228173357158183,Very Often
26,62222.0,35.0,Bachelor,IT,Bangalore,Male,62.81317451820445,10,2019,9,28,22,2,3.0196711965527996,Very Often
54,,16.0,High School,Sales,Delhi,Female,94.81225427392383,12,2008,31,1,6,4,1.3561262999924146,Rarely
50,130012.0,13.0,PhD,Marketing,Bangalore,Other,53.86819335887252,14,2023,8,5,24,2,4.756525720007938,Very Often
68,,8.0,High School,Sales,Hyderabad,Other,,14,2009,24,1,12,5,3.6169649902707475,Rarely
59,85333.0,29.0,Bachelor,Marketing,Bangalore,Other,62.92295037423282,9,2019,15,11,37,3,4.014594092558754,Often
61,72732.0,20.0,High School,Marketing,Bangalore,Male,70.81211518124651,9,2012,14,21,18,3,1.9154910554913105,Very Often
41,142650.0,11.0,Master,HR,Hyderabad,Other,64.02850995783189,12,2005,47,3,21,1,2.9761053253753436,Often
32,,36.0,High School,Sales,Hyderabad,Male,67.07053980555727,4,2003,17,12,10,3,1.535384784982326,Often
49,95504.0,31.0,Bachelor,HR,Delhi,Male,72.58944722327982,14,2016,22,16,2,4,1.8124146786152293,Very Often
49,22462.0,10.0,Master,Marketing,Mumbai,Female,80.90992296679488,10,2020,41,5,18,4,3.272835339869399,Very Often
41,29460.0,19.0,High School,Sales,Hyderabad,Female,40.30549692630041,6,2013,2,2,26,3,2.1196501373409697,Rarely
58,119319.0,34.0,High School,Sales,Delhi,Female,74.58339842605783,10,2002,6,12,6,4,4.668512705940126,Very Often
69,145602.0,10.0,Master,HR,Bangalore,Other,10.02037591539623,13,2000,38,22,36,5,4.980971862270737,Rarely
66,29275.0,7.0,PhD,HR,Bangalore,Male,87.61881322415286,3,2017,10,2,26,4,1.0157067444852959,Rarely
66,114213.0,3.0,PhD,Marketing,Pune,Other,29.004430790919177,7,2001,23,25,33,5,4.036395277409718,Very Often
69,33269.0,26.0,Master,Marketing,Hyderabad,Male,40.346031408728365,11,2007,34,19,10,5,1.4613433049454336,Very Often
29,149593.0,39.0,High School,Sales,Delhi,Other,80.36104126575084,12,2015,49,8,37,5,3.298491778614256,Very Often
56,142672.0,37.0,PhD,Sales,Delhi,Male,63.69870380910058,8,2003,24,22,4,2,1.913934191960188,Rarely
19,85942.0,29.0,Master,Finance,Mumbai,Female,30.86279898511681,8,2018,27,3,6,1,4.859495717550179,Rarely
20,92920.0,26.0,Bachelor,Finance,Delhi,Female,22.53991111246403,8,2019,11,1,35,4,4.5032279554053645,Rarely
66,140737.0,20.0,High School,IT,Hyderabad,Other,95.77144487105899,1,2009,22,4,4,2,3.381591674701579,Rarely
54,42553.0,19.0,Bachelor,Marketing,Delhi,Male,8.777636103158681,2,2016,16,7,4,1,1.7040663983424822,Rarely
66,44366.0,3.0,High School,IT,,Female,0.4335108609341276,4,2016,40,1,26,2,4.130725096852727,Very Often
34,64036.0,10.0,PhD,IT,,Male,,11,2020,36,24,28,4,3.0811920790235114,Rarely
66,37369.0,,Bachelor,HR,Bangalore,Other,61.44744270825184,0,2006,17,4,26,5,3.446252611635472,Very Often
19,31795.0,8.0,Bachelor,HR,Delhi,Female,,3,2008,8,5,31,2,3.8717728863770997,Rarely
